epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8166,0.50013,2.48281,0.9425,0.00698,1,0.98005,0.89207,0.35507,2.54179,0.77554,0.0002,0.0002,0.0002
2,141.721,0.40449,1.40837,0.8752,0.00698,1,0.94541,0.90136,0.34444,2.342,0.77947,0.000415842,0.000415842,0.000415842
3,216.447,0.41699,0.94385,0.88465,1,0.7242,0.85617,0.7992,0.49921,2.22719,0.88594,0.000627328,0.000627328,0.000627328
4,282.76,0.41644,0.77787,0.88234,1,0.70743,0.77334,0.6952,0.53255,2.05818,0.9016,0.000834458,0.000834458,0.000834458
5,353.562,0.40725,0.74734,0.86673,0.99453,0.8,0.93182,0.85276,0.47259,1.54929,0.85695,0.00103723,0.00103723,0.00103723
6,428.893,0.40774,0.71186,0.88782,0.98793,0.90922,0.98351,0.86469,0.49617,1.10498,0.84898,0.00123565,0.00123565,0.00123565
7,500.368,0.40121,0.65523,0.87755,0.98468,0.97778,0.99163,0.88699,0.48403,0.92954,0.85183,0.00142971,0.00142971,0.00142971
8,570.572,0.42536,0.69047,0.87598,0.97776,0.98889,0.99333,0.92202,0.43657,1.01754,0.8401,0.00161942,0.00161942,0.00161942
9,642.045,0.3905,0.67052,0.87981,0.98612,1,0.99434,0.93517,0.39771,0.89479,0.81733,0.00180477,0.00180477,0.00180477
10,710.833,0.41147,0.63332,0.8811,0.99515,0.96667,0.98819,0.92102,0.41081,0.83326,0.82233,0.0018218,0.0018218,0.0018218
11,779.14,0.38909,0.5912,0.87017,0.99727,0.94444,0.97481,0.91099,0.4617,0.88229,0.90005,0.001802,0.001802,0.001802
12,848.766,0.36883,0.5739,0.85962,0.96691,0.97409,0.98292,0.90325,0.41033,0.84964,0.83711,0.0017822,0.0017822,0.0017822
13,923.915,0.38644,0.56151,0.85499,0.98806,0.98889,0.98853,0.93118,0.3707,0.70265,0.81775,0.0017624,0.0017624,0.0017624
14,996.731,0.37704,0.53983,0.86795,0.97707,0.95556,0.99206,0.91469,0.34829,0.71691,0.82459,0.0017426,0.0017426,0.0017426
15,1068.97,0.38855,0.57171,0.89577,0.97516,1,0.99445,0.94033,0.32462,0.54874,0.8137,0.0017228,0.0017228,0.0017228
16,1148.45,0.36458,0.52578,0.86943,1,0.97508,0.99345,0.94957,0.36178,0.56223,0.87113,0.001703,0.001703,0.001703
